"filename", "language", "JSON", "CSS", "Markdown", "JavaScript", "HTML", "JavaScript JSX", "SVG", "comment", "blank", "total"
"c:\Users\monke\Desktop\CS\dndhelper\src\components\LoadoutSlot\LoadoutSlotModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 1, 3, 26
"c:\Users\monke\Desktop\CS\dndhelper\src\components\ProfAndLangBlock\ProfAndLangBlock.css", "CSS", 0, 38, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\monke\Desktop\CS\dndhelper\src\components\ProfAndLangBlock\ProfAndLangBlock.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 5, 55
"c:\Users\monke\Desktop\CS\dndhelper\src\components\SaveButton\SaveButton.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\monke\Desktop\CS\dndhelper\src\components\SaveButton\SaveButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 2, 5, 22
"c:\Users\monke\Desktop\CS\dndhelper\src\components\SavingThrowsBlock\SavingThrow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"c:\Users\monke\Desktop\CS\dndhelper\src\components\SavingThrowsBlock\SavingThrowGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\monke\Desktop\CS\dndhelper\src\components\SavingThrowsBlock\SavingThrows.css", "CSS", 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\monke\Desktop\CS\dndhelper\src\components\SignInButton\SignInButton.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\monke\Desktop\CS\dndhelper\src\components\SignInButton\SignInButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 2, 5, 36
"c:\Users\monke\Desktop\CS\dndhelper\src\components\SkillsBlock\SkillsBlock.css", "CSS", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\monke\Desktop\CS\dndhelper\src\components\SkillsBlock\SkillsBlock.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 5, 78
"c:\Users\monke\Desktop\CS\dndhelper\src\components\SpellsPane\SpellsCounters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"c:\Users\monke\Desktop\CS\dndhelper\src\components\SpellsPane\SpellsPane.css", "CSS", 0, 58, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\monke\Desktop\CS\dndhelper\src\components\SpellsPane\SpellsPane.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 79, 0, 1, 10, 90
"c:\Users\monke\Desktop\CS\dndhelper\src\components\StatBlock\StatBlock.css", "CSS", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\monke\Desktop\CS\dndhelper\src\components\StatBlock\StatBlock.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\monke\Desktop\CS\dndhelper\src\components\StatBlock\StatBlockGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\monke\Desktop\CS\dndhelper\src\components\UniversalBlock\UniversalBlock.css", "CSS", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\monke\Desktop\CS\dndhelper\src\components\UniversalBlock\UniversalBlock.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"c:\Users\monke\Desktop\CS\dndhelper\src\data\chest.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\monke\Desktop\CS\dndhelper\src\data\feet.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\monke\Desktop\CS\dndhelper\src\data\head.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\monke\Desktop\CS\dndhelper\src\data\legs.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\monke\Desktop\CS\dndhelper\src\data\shoulders.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\monke\Desktop\CS\dndhelper\src\data\spells.json", "JSON", 11353, 0, 0, 0, 0, 0, 0, 0, 0, 11353
"c:\Users\monke\Desktop\CS\dndhelper\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\monke\Desktop\CS\dndhelper\src\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\monke\Desktop\CS\dndhelper\src\lib\context.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\monke\Desktop\CS\dndhelper\src\lib\dataParse.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\monke\Desktop\CS\dndhelper\src\lib\fetchCharData.js", "JavaScript", 0, 0, 0, 152, 0, 0, 0, 3, 14, 169
"c:\Users\monke\Desktop\CS\dndhelper\src\lib\firebase.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 2, 4, 25
"Total", "-", 43302, 666, 29, 342, 18, 923, 59, 19, 221, 45579
